plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
47,21225,connected,,,compute-001,be0-port0,server,be-leaf-01,E1/1/1,leaf
47,21226,connected,,,compute-001,be1-port0,server,be-leaf-01,E1/1/2,leaf
47,21227,connected,,,compute-001,be2-port0,server,be-leaf-02,E1/1/1,leaf
47,21228,connected,,,compute-001,be3-port0,server,be-leaf-02,E1/1/2,leaf
47,21229,connected,,,compute-001,be4-port0,server,be-leaf-03,E1/1/1,leaf
47,21230,connected,,,compute-001,be5-port0,server,be-leaf-03,E1/1/2,leaf
47,21231,connected,,,compute-001,be6-port0,server,be-leaf-04,E1/1/1,leaf
47,21232,connected,,,compute-001,be7-port0,server,be-leaf-04,E1/1/2,leaf
47,21233,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
47,21234,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
47,21235,connected,,,compute-002,be0-port0,server,be-leaf-01,E1/2/1,leaf
47,21236,connected,,,compute-002,be1-port0,server,be-leaf-01,E1/2/2,leaf
47,21237,connected,,,compute-002,be2-port0,server,be-leaf-02,E1/2/1,leaf
47,21238,connected,,,compute-002,be3-port0,server,be-leaf-02,E1/2/2,leaf
47,21239,connected,,,compute-002,be4-port0,server,be-leaf-03,E1/2/1,leaf
47,21240,connected,,,compute-002,be5-port0,server,be-leaf-03,E1/2/2,leaf
47,21241,connected,,,compute-002,be6-port0,server,be-leaf-04,E1/2/1,leaf
47,21242,connected,,,compute-002,be7-port0,server,be-leaf-04,E1/2/2,leaf
47,21243,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
47,21244,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
47,21245,connected,,,compute-003,be0-port0,server,be-leaf-01,E1/3/1,leaf
47,21246,connected,,,compute-003,be1-port0,server,be-leaf-01,E1/3/2,leaf
47,21247,connected,,,compute-003,be2-port0,server,be-leaf-02,E1/3/1,leaf
47,21248,connected,,,compute-003,be3-port0,server,be-leaf-02,E1/3/2,leaf
47,21249,connected,,,compute-003,be4-port0,server,be-leaf-03,E1/3/1,leaf
47,21250,connected,,,compute-003,be5-port0,server,be-leaf-03,E1/3/2,leaf
47,21251,connected,,,compute-003,be6-port0,server,be-leaf-04,E1/3/1,leaf
47,21252,connected,,,compute-003,be7-port0,server,be-leaf-04,E1/3/2,leaf
47,21253,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
47,21254,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
47,21255,connected,,,compute-004,be0-port0,server,be-leaf-01,E1/4/1,leaf
47,21256,connected,,,compute-004,be1-port0,server,be-leaf-01,E1/4/2,leaf
47,21257,connected,,,compute-004,be2-port0,server,be-leaf-02,E1/4/1,leaf
47,21258,connected,,,compute-004,be3-port0,server,be-leaf-02,E1/4/2,leaf
47,21259,connected,,,compute-004,be4-port0,server,be-leaf-03,E1/4/1,leaf
