plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
53,28201,connected,,,compute-001,be-gpu0-port0,server,be-plane-a-leaf-01,E1/1/1,leaf
53,28202,connected,,,compute-001,be-gpu0-port1,server,be-plane-b-leaf-01,E1/1/1,leaf
53,28203,connected,,,compute-001,be-gpu1-port0,server,be-plane-a-leaf-02,E1/1/1,leaf
53,28204,connected,,,compute-001,be-gpu1-port1,server,be-plane-b-leaf-02,E1/1/1,leaf
53,28205,connected,,,compute-001,be-gpu2-port0,server,be-plane-a-leaf-03,E1/1/1,leaf
53,28206,connected,,,compute-001,be-gpu2-port1,server,be-plane-b-leaf-03,E1/1/1,leaf
53,28207,connected,,,compute-001,be-gpu3-port0,server,be-plane-a-leaf-04,E1/1/1,leaf
53,28208,connected,,,compute-001,be-gpu3-port1,server,be-plane-b-leaf-04,E1/1/1,leaf
53,28209,connected,,,compute-001,be-gpu4-port0,server,be-plane-a-leaf-05,E1/1/1,leaf
53,28210,connected,,,compute-001,be-gpu4-port1,server,be-plane-b-leaf-05,E1/1/1,leaf
53,28211,connected,,,compute-001,be-gpu5-port0,server,be-plane-a-leaf-06,E1/1/1,leaf
53,28212,connected,,,compute-001,be-gpu5-port1,server,be-plane-b-leaf-06,E1/1/1,leaf
53,28213,connected,,,compute-001,be-gpu6-port0,server,be-plane-a-leaf-07,E1/1/1,leaf
53,28214,connected,,,compute-001,be-gpu6-port1,server,be-plane-b-leaf-07,E1/1/1,leaf
53,28215,connected,,,compute-001,be-gpu7-port0,server,be-plane-a-leaf-08,E1/1/1,leaf
53,28216,connected,,,compute-001,be-gpu7-port1,server,be-plane-b-leaf-08,E1/1/1,leaf
53,28217,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
53,28218,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
53,28219,connected,,,compute-002,be-gpu0-port0,server,be-plane-a-leaf-01,E1/1/2,leaf
53,28220,connected,,,compute-002,be-gpu0-port1,server,be-plane-b-leaf-01,E1/1/2,leaf
53,28221,connected,,,compute-002,be-gpu1-port0,server,be-plane-a-leaf-02,E1/1/2,leaf
53,28222,connected,,,compute-002,be-gpu1-port1,server,be-plane-b-leaf-02,E1/1/2,leaf
53,28223,connected,,,compute-002,be-gpu2-port0,server,be-plane-a-leaf-03,E1/1/2,leaf
53,28224,connected,,,compute-002,be-gpu2-port1,server,be-plane-b-leaf-03,E1/1/2,leaf
53,28225,connected,,,compute-002,be-gpu3-port0,server,be-plane-a-leaf-04,E1/1/2,leaf
53,28226,connected,,,compute-002,be-gpu3-port1,server,be-plane-b-leaf-04,E1/1/2,leaf
53,28227,connected,,,compute-002,be-gpu4-port0,server,be-plane-a-leaf-05,E1/1/2,leaf
53,28228,connected,,,compute-002,be-gpu4-port1,server,be-plane-b-leaf-05,E1/1/2,leaf
53,28229,connected,,,compute-002,be-gpu5-port0,server,be-plane-a-leaf-06,E1/1/2,leaf
53,28230,connected,,,compute-002,be-gpu5-port1,server,be-plane-b-leaf-06,E1/1/2,leaf
53,28231,connected,,,compute-002,be-gpu6-port0,server,be-plane-a-leaf-07,E1/1/2,leaf
53,28232,connected,,,compute-002,be-gpu6-port1,server,be-plane-b-leaf-07,E1/1/2,leaf
53,28233,connected,,,compute-002,be-gpu7-port0,server,be-plane-a-leaf-08,E1/1/2,leaf
53,28234,connected,,,compute-002,be-gpu7-port1,server,be-plane-b-leaf-08,E1/1/2,leaf
53,28235,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
53,28236,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
53,28237,connected,,,compute-003,be-gpu0-port0,server,be-plane-a-leaf-01,E1/2/1,leaf
53,28238,connected,,,compute-003,be-gpu0-port1,server,be-plane-b-leaf-01,E1/2/1,leaf
53,28239,connected,,,compute-003,be-gpu1-port0,server,be-plane-a-leaf-02,E1/2/1,leaf
53,28240,connected,,,compute-003,be-gpu1-port1,server,be-plane-b-leaf-02,E1/2/1,leaf
53,28241,connected,,,compute-003,be-gpu2-port0,server,be-plane-a-leaf-03,E1/2/1,leaf
53,28242,connected,,,compute-003,be-gpu2-port1,server,be-plane-b-leaf-03,E1/2/1,leaf
53,28243,connected,,,compute-003,be-gpu3-port0,server,be-plane-a-leaf-04,E1/2/1,leaf
53,28244,connected,,,compute-003,be-gpu3-port1,server,be-plane-b-leaf-04,E1/2/1,leaf
53,28245,connected,,,compute-003,be-gpu4-port0,server,be-plane-a-leaf-05,E1/2/1,leaf
53,28246,connected,,,compute-003,be-gpu4-port1,server,be-plane-b-leaf-05,E1/2/1,leaf
53,28247,connected,,,compute-003,be-gpu5-port0,server,be-plane-a-leaf-06,E1/2/1,leaf
53,28248,connected,,,compute-003,be-gpu5-port1,server,be-plane-b-leaf-06,E1/2/1,leaf
53,28249,connected,,,compute-003,be-gpu6-port0,server,be-plane-a-leaf-07,E1/2/1,leaf
53,28250,connected,,,compute-003,be-gpu6-port1,server,be-plane-b-leaf-07,E1/2/1,leaf
53,28251,connected,,,compute-003,be-gpu7-port0,server,be-plane-a-leaf-08,E1/2/1,leaf
53,28252,connected,,,compute-003,be-gpu7-port1,server,be-plane-b-leaf-08,E1/2/1,leaf
53,28253,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
53,28254,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
53,28255,connected,,,compute-004,be-gpu0-port0,server,be-plane-a-leaf-01,E1/2/2,leaf
53,28256,connected,,,compute-004,be-gpu0-port1,server,be-plane-b-leaf-01,E1/2/2,leaf
53,28257,connected,,,compute-004,be-gpu1-port0,server,be-plane-a-leaf-02,E1/2/2,leaf
53,28258,connected,,,compute-004,be-gpu1-port1,server,be-plane-b-leaf-02,E1/2/2,leaf
53,28259,connected,,,compute-004,be-gpu2-port0,server,be-plane-a-leaf-03,E1/2/2,leaf
53,28260,connected,,,compute-004,be-gpu2-port1,server,be-plane-b-leaf-03,E1/2/2,leaf
53,28261,connected,,,compute-004,be-gpu3-port0,server,be-plane-a-leaf-04,E1/2/2,leaf
53,28262,connected,,,compute-004,be-gpu3-port1,server,be-plane-b-leaf-04,E1/2/2,leaf
53,28263,connected,,,compute-004,be-gpu4-port0,server,be-plane-a-leaf-05,E1/2/2,leaf
53,28264,connected,,,compute-004,be-gpu4-port1,server,be-plane-b-leaf-05,E1/2/2,leaf
53,28265,connected,,,compute-004,be-gpu5-port0,server,be-plane-a-leaf-06,E1/2/2,leaf
53,28266,connected,,,compute-004,be-gpu5-port1,server,be-plane-b-leaf-06,E1/2/2,leaf
53,28267,connected,,,compute-004,be-gpu6-port0,server,be-plane-a-leaf-07,E1/2/2,leaf
53,28268,connected,,,compute-004,be-gpu6-port1,server,be-plane-b-leaf-07,E1/2/2,leaf
53,28269,connected,,,compute-004,be-gpu7-port0,server,be-plane-a-leaf-08,E1/2/2,leaf
53,28270,connected,,,compute-004,be-gpu7-port1,server,be-plane-b-leaf-08,E1/2/2,leaf
53,28271,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
53,28272,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
53,28273,connected,,,compute-005,be-gpu0-port0,server,be-plane-a-leaf-01,E1/3/1,leaf
53,28274,connected,,,compute-005,be-gpu0-port1,server,be-plane-b-leaf-01,E1/3/1,leaf
53,28275,connected,,,compute-005,be-gpu1-port0,server,be-plane-a-leaf-02,E1/3/1,leaf
53,28276,connected,,,compute-005,be-gpu1-port1,server,be-plane-b-leaf-02,E1/3/1,leaf
53,28277,connected,,,compute-005,be-gpu2-port0,server,be-plane-a-leaf-03,E1/3/1,leaf
53,28278,connected,,,compute-005,be-gpu2-port1,server,be-plane-b-leaf-03,E1/3/1,leaf
53,28279,connected,,,compute-005,be-gpu3-port0,server,be-plane-a-leaf-04,E1/3/1,leaf
53,28280,connected,,,compute-005,be-gpu3-port1,server,be-plane-b-leaf-04,E1/3/1,leaf
53,28281,connected,,,compute-005,be-gpu4-port0,server,be-plane-a-leaf-05,E1/3/1,leaf
53,28282,connected,,,compute-005,be-gpu4-port1,server,be-plane-b-leaf-05,E1/3/1,leaf
53,28283,connected,,,compute-005,be-gpu5-port0,server,be-plane-a-leaf-06,E1/3/1,leaf
53,28284,connected,,,compute-005,be-gpu5-port1,server,be-plane-b-leaf-06,E1/3/1,leaf
53,28285,connected,,,compute-005,be-gpu6-port0,server,be-plane-a-leaf-07,E1/3/1,leaf
53,28286,connected,,,compute-005,be-gpu6-port1,server,be-plane-b-leaf-07,E1/3/1,leaf
53,28287,connected,,,compute-005,be-gpu7-port0,server,be-plane-a-leaf-08,E1/3/1,leaf
53,28288,connected,,,compute-005,be-gpu7-port1,server,be-plane-b-leaf-08,E1/3/1,leaf
53,28289,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
53,28290,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
53,28291,connected,,,compute-006,be-gpu0-port0,server,be-plane-a-leaf-01,E1/3/2,leaf
53,28292,connected,,,compute-006,be-gpu0-port1,server,be-plane-b-leaf-01,E1/3/2,leaf
53,28293,connected,,,compute-006,be-gpu1-port0,server,be-plane-a-leaf-02,E1/3/2,leaf
53,28294,connected,,,compute-006,be-gpu1-port1,server,be-plane-b-leaf-02,E1/3/2,leaf
53,28295,connected,,,compute-006,be-gpu2-port0,server,be-plane-a-leaf-03,E1/3/2,leaf
53,28296,connected,,,compute-006,be-gpu2-port1,server,be-plane-b-leaf-03,E1/3/2,leaf
53,28297,connected,,,compute-006,be-gpu3-port0,server,be-plane-a-leaf-04,E1/3/2,leaf
53,28298,connected,,,compute-006,be-gpu3-port1,server,be-plane-b-leaf-04,E1/3/2,leaf
53,28299,connected,,,compute-006,be-gpu4-port0,server,be-plane-a-leaf-05,E1/3/2,leaf
53,28300,connected,,,compute-006,be-gpu4-port1,server,be-plane-b-leaf-05,E1/3/2,leaf
53,28301,connected,,,compute-006,be-gpu5-port0,server,be-plane-a-leaf-06,E1/3/2,leaf
53,28302,connected,,,compute-006,be-gpu5-port1,server,be-plane-b-leaf-06,E1/3/2,leaf
53,28303,connected,,,compute-006,be-gpu6-port0,server,be-plane-a-leaf-07,E1/3/2,leaf
53,28304,connected,,,compute-006,be-gpu6-port1,server,be-plane-b-leaf-07,E1/3/2,leaf
53,28305,connected,,,compute-006,be-gpu7-port0,server,be-plane-a-leaf-08,E1/3/2,leaf
53,28306,connected,,,compute-006,be-gpu7-port1,server,be-plane-b-leaf-08,E1/3/2,leaf
53,28307,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
53,28308,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
53,28309,connected,,,compute-007,be-gpu0-port0,server,be-plane-a-leaf-01,E1/4/1,leaf
53,28310,connected,,,compute-007,be-gpu0-port1,server,be-plane-b-leaf-01,E1/4/1,leaf
53,28311,connected,,,compute-007,be-gpu1-port0,server,be-plane-a-leaf-02,E1/4/1,leaf
53,28312,connected,,,compute-007,be-gpu1-port1,server,be-plane-b-leaf-02,E1/4/1,leaf
53,28313,connected,,,compute-007,be-gpu2-port0,server,be-plane-a-leaf-03,E1/4/1,leaf
53,28314,connected,,,compute-007,be-gpu2-port1,server,be-plane-b-leaf-03,E1/4/1,leaf
53,28315,connected,,,compute-007,be-gpu3-port0,server,be-plane-a-leaf-04,E1/4/1,leaf
53,28316,connected,,,compute-007,be-gpu3-port1,server,be-plane-b-leaf-04,E1/4/1,leaf
53,28317,connected,,,compute-007,be-gpu4-port0,server,be-plane-a-leaf-05,E1/4/1,leaf
53,28318,connected,,,compute-007,be-gpu4-port1,server,be-plane-b-leaf-05,E1/4/1,leaf
53,28319,connected,,,compute-007,be-gpu5-port0,server,be-plane-a-leaf-06,E1/4/1,leaf
53,28320,connected,,,compute-007,be-gpu5-port1,server,be-plane-b-leaf-06,E1/4/1,leaf
53,28321,connected,,,compute-007,be-gpu6-port0,server,be-plane-a-leaf-07,E1/4/1,leaf
53,28322,connected,,,compute-007,be-gpu6-port1,server,be-plane-b-leaf-07,E1/4/1,leaf
53,28323,connected,,,compute-007,be-gpu7-port0,server,be-plane-a-leaf-08,E1/4/1,leaf
53,28324,connected,,,compute-007,be-gpu7-port1,server,be-plane-b-leaf-08,E1/4/1,leaf
53,28325,connected,,,compute-007,fe-p0,server,fe-leaf-01,E1/3/3,leaf
53,28326,connected,,,compute-007,fe-p1,server,fe-leaf-02,E1/3/3,leaf
53,28327,connected,,,compute-008,be-gpu0-port0,server,be-plane-a-leaf-01,E1/4/2,leaf
53,28328,connected,,,compute-008,be-gpu0-port1,server,be-plane-b-leaf-01,E1/4/2,leaf
53,28329,connected,,,compute-008,be-gpu1-port0,server,be-plane-a-leaf-02,E1/4/2,leaf
53,28330,connected,,,compute-008,be-gpu1-port1,server,be-plane-b-leaf-02,E1/4/2,leaf
53,28331,connected,,,compute-008,be-gpu2-port0,server,be-plane-a-leaf-03,E1/4/2,leaf
53,28332,connected,,,compute-008,be-gpu2-port1,server,be-plane-b-leaf-03,E1/4/2,leaf
53,28333,connected,,,compute-008,be-gpu3-port0,server,be-plane-a-leaf-04,E1/4/2,leaf
53,28334,connected,,,compute-008,be-gpu3-port1,server,be-plane-b-leaf-04,E1/4/2,leaf
53,28335,connected,,,compute-008,be-gpu4-port0,server,be-plane-a-leaf-05,E1/4/2,leaf
53,28336,connected,,,compute-008,be-gpu4-port1,server,be-plane-b-leaf-05,E1/4/2,leaf
53,28337,connected,,,compute-008,be-gpu5-port0,server,be-plane-a-leaf-06,E1/4/2,leaf
53,28338,connected,,,compute-008,be-gpu5-port1,server,be-plane-b-leaf-06,E1/4/2,leaf
53,28339,connected,,,compute-008,be-gpu6-port0,server,be-plane-a-leaf-07,E1/4/2,leaf
53,28340,connected,,,compute-008,be-gpu6-port1,server,be-plane-b-leaf-07,E1/4/2,leaf
53,28341,connected,,,compute-008,be-gpu7-port0,server,be-plane-a-leaf-08,E1/4/2,leaf
53,28342,connected,,,compute-008,be-gpu7-port1,server,be-plane-b-leaf-08,E1/4/2,leaf
53,28343,connected,,,compute-008,fe-p0,server,fe-leaf-01,E1/3/4,leaf
53,28344,connected,,,compute-008,fe-p1,server,fe-leaf-02,E1/3/4,leaf
53,28345,connected,,,compute-009,be-gpu0-port0,server,be-plane-a-leaf-01,E1/5/1,leaf
53,28346,connected,,,compute-009,be-gpu0-port1,server,be-plane-b-leaf-01,E1/5/1,leaf
53,28347,connected,,,compute-009,be-gpu1-port0,server,be-plane-a-leaf-02,E1/5/1,leaf
53,28348,connected,,,compute-009,be-gpu1-port1,server,be-plane-b-leaf-02,E1/5/1,leaf
53,28349,connected,,,compute-009,be-gpu2-port0,server,be-plane-a-leaf-03,E1/5/1,leaf
53,28350,connected,,,compute-009,be-gpu2-port1,server,be-plane-b-leaf-03,E1/5/1,leaf
53,28351,connected,,,compute-009,be-gpu3-port0,server,be-plane-a-leaf-04,E1/5/1,leaf
53,28352,connected,,,compute-009,be-gpu3-port1,server,be-plane-b-leaf-04,E1/5/1,leaf
53,28353,connected,,,compute-009,be-gpu4-port0,server,be-plane-a-leaf-05,E1/5/1,leaf
53,28354,connected,,,compute-009,be-gpu4-port1,server,be-plane-b-leaf-05,E1/5/1,leaf
53,28355,connected,,,compute-009,be-gpu5-port0,server,be-plane-a-leaf-06,E1/5/1,leaf
53,28356,connected,,,compute-009,be-gpu5-port1,server,be-plane-b-leaf-06,E1/5/1,leaf
53,28357,connected,,,compute-009,be-gpu6-port0,server,be-plane-a-leaf-07,E1/5/1,leaf
53,28358,connected,,,compute-009,be-gpu6-port1,server,be-plane-b-leaf-07,E1/5/1,leaf
53,28359,connected,,,compute-009,be-gpu7-port0,server,be-plane-a-leaf-08,E1/5/1,leaf
53,28360,connected,,,compute-009,be-gpu7-port1,server,be-plane-b-leaf-08,E1/5/1,leaf
53,28361,connected,,,compute-009,fe-p0,server,fe-leaf-01,E1/5/1,leaf
53,28362,connected,,,compute-009,fe-p1,server,fe-leaf-02,E1/5/1,leaf
