plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
45,20425,connected,,,compute-001,be0-port0,server,be-leaf-01,E1/1/1,leaf
45,20426,connected,,,compute-001,be1-port0,server,be-leaf-01,E1/1/2,leaf
45,20427,connected,,,compute-001,be2-port0,server,be-leaf-01,E1/2/1,leaf
45,20428,connected,,,compute-001,be3-port0,server,be-leaf-01,E1/2/2,leaf
45,20429,connected,,,compute-001,be4-port0,server,be-leaf-02,E1/1/1,leaf
45,20430,connected,,,compute-001,be5-port0,server,be-leaf-02,E1/1/2,leaf
45,20431,connected,,,compute-001,be6-port0,server,be-leaf-02,E1/2/1,leaf
45,20432,connected,,,compute-001,be7-port0,server,be-leaf-02,E1/2/2,leaf
45,20433,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
45,20434,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
45,20435,connected,,,compute-002,be0-port0,server,be-leaf-01,E1/3/1,leaf
45,20436,connected,,,compute-002,be1-port0,server,be-leaf-01,E1/3/2,leaf
45,20437,connected,,,compute-002,be2-port0,server,be-leaf-01,E1/4/1,leaf
45,20438,connected,,,compute-002,be3-port0,server,be-leaf-01,E1/4/2,leaf
45,20439,connected,,,compute-002,be4-port0,server,be-leaf-02,E1/3/1,leaf
45,20440,connected,,,compute-002,be5-port0,server,be-leaf-02,E1/3/2,leaf
45,20441,connected,,,compute-002,be6-port0,server,be-leaf-02,E1/4/1,leaf
45,20442,connected,,,compute-002,be7-port0,server,be-leaf-02,E1/4/2,leaf
45,20443,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
45,20444,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
45,20445,connected,,,compute-003,be0-port0,server,be-leaf-01,E1/5/1,leaf
45,20446,connected,,,compute-003,be1-port0,server,be-leaf-01,E1/5/2,leaf
45,20447,connected,,,compute-003,be2-port0,server,be-leaf-01,E1/6/1,leaf
45,20448,connected,,,compute-003,be3-port0,server,be-leaf-01,E1/6/2,leaf
45,20449,connected,,,compute-003,be4-port0,server,be-leaf-02,E1/5/1,leaf
45,20450,connected,,,compute-003,be5-port0,server,be-leaf-02,E1/5/2,leaf
45,20451,connected,,,compute-003,be6-port0,server,be-leaf-02,E1/6/1,leaf
